"sig126 (S1_WT)"	"sig127C (S3_WT)"	"sig130C (T9_Pants)"	"sig131 (T10_Pants)"
"sp|P62862|RS30_MOUSE"	-0.363075099596976	-0.929844718899076	0.532541213571722	0.760378604924323
"sp|P07759|SPA3K_MOUSE"	-1.40449208939215	-1.54330130461155	1.27241999203165	1.67537340197205
"tr|A8DUK4|A8DUK4_MOUSE"	-0.624977635180826	-0.89161533610012	0.745176296161674	0.771416675119276
"sp|Q61127|NAB2_MOUSE"	-0.474879602402774	-0.983072105941776	0.630086705853723	0.827865002490825
"sp|Q9CZX8|RS19_MOUSE"	-0.392369936138024	-0.774717034303322	0.704891016436978	0.462195954004375
"sp|Q8CH09|SUGP2_MOUSE"	-0.930832213334499	-1.3387320451938	1.2077870480461	1.0617772104822
"tr|Q3TE80|Q3TE80_MOUSE"	-0.300551007765854	-0.769551349235448	0.649039657526549	0.421062699474749
"sp|Q9CQG2|MET16_MOUSE"	-0.490431105402399	-0.930931173148402	0.824206103064201	0.597156175486601
"sp|Q99KP6|PRP19_MOUSE"	-0.430427470299122	-1.13564643483432	0.810134910334074	0.755938994799376
"sp|Q61937|NPM_MOUSE"	-1.41289609100027	-1.79099212687137	1.58182797302883	1.62206024484282
"sp|Q8C3P7|MTA70_MOUSE"	-0.680632918262873	-0.628878353532274	0.577604625595827	0.731906646199324
"sp|Q91WC0|SETD3_MOUSE"	-0.645355367233527	-0.691678697510021	0.650426522409475	0.686607542334077
"sp|Q9R0U0|SRS10_MOUSE"	-0.584220791625723	-1.53011982777692	1.04156452177567	1.07277609762698
"sp|Q93092|TALDO_MOUSE"	-0.7812243361059	-0.894613805481299	0.765597598201701	0.910240543385498
"sp|Q3UJB9|EDC4_MOUSE"	-0.486803547095324	-0.537589380596025	0.531838721422275	0.492554206269077
"tr|G5E896|G5E896_MOUSE"	-0.49013445591045	-0.539236067255349	0.538574964956752	0.490795558209047
"sp|P61290|PSME3_MOUSE"	-1.21498052455725	-1.38751894681545	1.16109099195715	1.44140847941555
"sp|Q80U78|PUM1_MOUSE"	-0.326153228652274	-0.770137930747072	0.583784530917228	0.512506628482125
"sp|Q80U78-2|PUM1_MOUSE"	-0.267534451390425	-0.752451734942026	0.550980376694675	0.469005809637775
"sp|Q8BMP6|GCP60_MOUSE"	-0.628293939371872	-0.64936158797898	0.719890446191926	0.557765081158923
"sp|P11031|TCP4_MOUSE"	-1.33806990144185	-0.88021602248125	1.03788598737145	1.18039993655165
"sp|P07309|TTHY_MOUSE"	-0.989759746221125	-1.57776716514642	1.32197604701638	1.24555086435118
"sp|P62317|SMD2_MOUSE"	-0.680179538993325	-1.38325642063803	0.915871403155773	1.14756455647557
